,mrt_station,latitude,longtitude
0,Jurong East MRT Station,1.33357652289465,103.742292350324
1,Bukit Batok MRT Station,1.34842377665437,103.749126361849
2,Bukit Gombak MRT Station,1.35930937732431,103.751948590322
3,Choa Chu Kang MRT Station,1.38575650064861,103.744509334035
4,Yew Tee MRT Station,1.39753506936297,103.747405150236
5,Kranji MRT Station,1.42513172976083,103.762492227566
6,Marsiling MRT Station,1.43275722977074,103.773981720213
7,Woodlands MRT Station,1.43659643136072,103.78584424633
8,Admiralty MRT Station,1.44053338763298,103.801364534318
9,Sembawang MRT Station,1.44892733136332,103.820401560553
10,Canberra MRT Station,1.44307664075698,103.829702590959
11,Yishun MRT Station,1.42966559741799,103.83564365509
12,Khatib MRT Station,1.41789179005502,103.833171755256
13,Yio Chu Kang MRT Station,1.3819602145119,103.844651533361
14,Ang Mo Kio MRT Station,1.36988737282394,103.849825701795
15,Bishan MRT Station,1.35057959895607,103.84830499183
16,Braddell MRT Station,1.3404690010277,103.846799083148
17,Toa Payoh MRT Station,1.33262928096888,103.847502198048
18,Novena MRT Station,1.32044079120154,103.843825618748
19,Newton MRT Station,1.31399286264569,103.837714613091
20,Orchard MRT Station,1.30489770246908,103.832525108319
21,Somerset MRT Station,1.30026416739004,103.839085753124
22,Dhoby Ghaut MRT Station,1.29845214658074,103.846779253533
23,City Hall MRT Station,1.2930469476388,103.852985301431
24,Raffles Place MRT Station,1.28412514799439,103.851438353944
25,Marina Bay MRT Station,1.27474173226841,103.855309167928
26,Marina South Pier MRT Station,1.27102703612006,103.862447515736
27,Pasir Ris MRT Station,1.37288623654736,103.949136940627
28,Tampines MRT Station,1.35376401277764,103.944766312114
29,Simei MRT Station,1.34265578602278,103.953820143851
30,Tanah Merah MRT Station,1.32706486167886,103.945723128534
31,Bedok MRT Station,1.32356863626391,103.92915714301
32,Kembangan MRT Station,1.32115210814206,103.912899289031
33,Eunos MRT Station,1.31960866729864,103.903178612002
34,Paya Lebar MRT Station,1.31825458543132,103.892791663683
35,Aljunied MRT Station,1.3164879306303,103.882472888012
36,Kallang MRT Station,1.31178177018801,103.871587075702
37,Lavender MRT Station,1.30761853932456,103.862650316842
38,Bugis MRT Station,1.30120408934977,103.855924081071
39,Tanjong Pagar MRT Station,1.27639874607446,103.844820544637
40,Outram Park MRT Station,1.28160415423473,103.838652479817
41,Tiong Bahru MRT Station,1.28610253615775,103.827445112419
42,Redhill MRT Station,1.28948587575622,103.817249373128
43,Queenstown MRT Station,1.29538090465663,103.805476932015
44,Commonwealth MRT Station,1.3020212578832,103.798714315911
45,Buona Vista MRT Station,1.30734059031479,103.790448798318
46,Dover MRT Station,1.31170474286932,103.778446601688
47,Clementi MRT Station,1.31406568887035,103.765541409161
48,Chinese Garden MRT Station,1.34210147853727,103.73266879526
49,Lakeside MRT Station,1.34430260019958,103.7217171276
50,Boon Lay MRT Station,1.33827591234396,103.705790413341
